mjd,ra,dec,mag,band,status,permid,provid,obstime_text
60798.08042653935,186.1374155,7.4426277,21.928,Lr,p,616827,2001 HL69,2025-05-03T01:55:48.853Z
60799.09730289352,185.9812996,7.4443922,21.904,Lr,p,616827,2001 HL69,2025-05-04T02:20:06.970Z
60798.05645001157,186.141357,7.4425305,21.871,Lr,p,616827,2001 HL69,2025-05-03T01:21:17.281Z
60790.1361702662,187.5716842,7.2971615,22.125,Lg,p,616827,2001 HL69,2025-04-25T03:16:05.111Z
60797.08296262731,186.2968304,7.4371669,21.951,Lr,p,616827,2001 HL69,2025-05-02T01:59:27.971Z
60795.14805488426,186.6231835,7.4160954,22.291,Lg,p,616827,2001 HL69,2025-04-30T03:33:11.942Z
60797.11239403935,186.2917783,7.4373798,22.337,Lg,p,616827,2001 HL69,2025-05-02T02:41:50.845Z
60798.12504673611,186.1300654,7.4427777,22.233,Lg,p,616827,2001 HL69,2025-05-03T03:00:04.038Z
60793.1865253588,186.9772278,7.3805818,21.811,Lr,p,616827,2001 HL69,2025-04-28T04:28:35.791Z
60798.0764983912,186.138072,7.4426161,21.931,Lr,p,616827,2001 HL69,2025-05-03T01:50:09.461Z
60793.136086516206,186.9870335,7.3794963,22.290,Lg,p,616827,2001 HL69,2025-04-28T03:15:57.875Z
60798.02083712963,186.1472363,7.4424004,21.773,Li,p,616827,2001 HL69,2025-05-03T00:30:00.328Z
60790.14126815972,187.5706065,7.2973299,22.163,Lg,p,616827,2001 HL69,2025-04-25T03:23:25.569Z
60798.067169201386,186.1395927,7.4425605,21.859,Lr,p,616827,2001 HL69,2025-05-03T01:36:43.419Z
60798.086346828706,186.1364522,7.4426539,21.910,Lr,p,616827,2001 HL69,2025-05-03T02:04:20.366Z
60798.079423125,186.1376211,7.4425914,21.914,Lr,p,616827,2001 HL69,2025-05-03T01:54:22.158Z
60797.024786435184,186.3067534,7.4367318,21.818,Li,p,616827,2001 HL69,2025-05-02T00:35:41.548Z
60795.151011284725,186.6226446,7.4161505,22.216,Lg,p,616827,2001 HL69,2025-04-30T03:37:27.375Z
60795.16661368056,186.6197613,7.4163504,22.314,Lg,p,616827,2001 HL69,2025-04-30T03:59:55.422Z
60797.10707457176,186.2926943,7.4373449,22.308,Lg,p,616827,2001 HL69,2025-05-02T02:34:11.243Z
60798.11426631945,186.1318416,7.4427394,22.325,Lg,p,616827,2001 HL69,2025-05-03T02:44:32.610Z
60798.02673100695,186.1462529,7.4424084,21.819,Li,p,616827,2001 HL69,2025-05-03T00:38:29.559Z
60793.139491319445,186.9863738,7.3795654,22.245,Lg,p,616827,2001 HL69,2025-04-28T03:20:52.050Z
60797.03608699074,186.3048238,7.4368075,21.761,Li,p,616827,2001 HL69,2025-05-02T00:51:57.916Z
60799.08645277778,185.983022,7.4443914,21.919,Lr,p,616827,2001 HL69,2025-05-04T02:04:29.520Z
60799.02994983796,185.9919757,7.4443714,21.871,Li,p,616827,2001 HL69,2025-05-04T00:43:07.666Z
